Designator,Footprint,Quantity,Value,LCSC Part #
12VLED101,0402,1,RED_LED,
3V3LED101,0402,1,BLUE_LED,
"C101, C202, C301, C303, C304, C305, C306",0603,7,10uF,
"C102, C103, C107, C302, C513, C514, C602, C606",0402,8,1uF,
"C104, C105, C106, C109, C110, C111, C114, C201, C308, C404, C405, C407, C411, C501, C503, C506, C508, C509, C510, C511, C512",0402,21,100nF,
"C108, C502, C504, C505, C507, C516, C517, C518",0402,8,10nF,
"C112, C113",0402,2,11pF,
"C115, C601",0402,2,2.2uF,
C203,0402,1,47nF,
C307,0402,1,10uF,
C401,0603,1,4.7uF,
C402,0402,1,75pF,
C403,0402,1,1.8nF,
C406,1206,1,47uF,
"C408, C409",0805,2,10uF,
C410,0603,1,1uF,
C515,0402,1,220nF,
"C603, C604, C608, C609, C612, C616, C617",1206,7,"10uF, 50V",
"C605, C610, C618",2220,3,"15uF, 100V",
C607,0402,1,"22nF, 50V",
C611,0603,1,"100nF, 50V",
"C613, C614, C615",0402,3,"220nF, 50V",
"C701, C702",0402,2,2.2nF,
CANRXLED101,0402,1,ORANGE_LED,
"CANTXLED101, TXLED101",0402,2,GREEN_LED,
D201,SOT-23,1,SM712,
D801,SOT-143,1,SP0503BAHT,
"H101, H102, H103, H104",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC401,IC_TPS61089RNRR,1,TPS61089RNRR,TPS61089RNRR
IC402,SOT95P282X145-5N,1,AP2205-W5-7,AP2205-W5-7
IC501,QFN40P300X300X80-21N-D,1,ADS131M04IRUKR,ADS131M04IRUKR
J101,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS,
"J501, J502, J503, J504, J505",Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal,5,Conn_01x02_Male,
J506,Molex_Nano-Fit_105314-xx06_2x03_P2.50mm_Horizontal,1,3x2 Nanofit,
J801,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
"JP101, JP102",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
JP201,SmallerSolderJP,1,TermJP,
L101,0402,1,2nH,
L102,0402,1,20nH,
L301,0805,1,1uH,
L401,IND_SRP6540-390M,1,SRR6038-3R3Y,
LED801,0402,1,WHITE_LED,
P101,1PAD_4x5mm,1,IN+,
P102,1PAD_4x5mm,1,IN-,
P701,1PAD_4x5mm,1,MOTOR3,
P702,1PAD_4x5mm,1,MOTOR2,
P703,1PAD_4x5mm,1,MOTOR1,
"Q701, Q702, Q703, Q704, Q705, Q706",D2PAK-7-GDS,6,IRFS7530,
"R101, R106, R112, R301, R304, R404, R501, R502, R603, R604, R605",0402,11,10kΩ,
"R102, R103, R104, R105, R510, R511, R512, R513, R515, R516",0402,10,1kΩ,
R107,0402,1,499Ω,
R108,0402,1,3kΩ,
"R109, R607, R609, R611, R703, R709, R712",0402,7,39kΩ,
"R110, R608, R610, R612",0402,4,2.2kΩ,
R111,R0402,1,NCU15XH103F6SRC,C333993
R201,0603,1,0Ω,
"R202, R203",0603,2,60Ω,
R302,0402,1,14kΩ,
R303,0402,1,56kΩ,
R401,0402,1,28.7kΩ,
R402,0402,1,866kΩ,
R403,0402,1,92kΩ,
R405,0402,1,332kΩ,
R406,0402,1,280kΩ,
R407,0402,1,49.9kΩ,
R408,0402,1,432kΩ,
"R503, R504, R505, R506, R704, R705, R713, R714",0402,8,100Ω,
R507,0402,1,120Ω,
"R508, R509, R514",0402,3,59Ω,RT0402BRD0749R9L
"R601, R602",0402,2,~,
R606,0402,1,1MΩ,
"R701, R702, R707, R708, R710, R711",0603,6,4.7Ω,
"R706, R715",RES-SMD_L7.1-W4.6_HOXLR2818,2,10mΩ,C53115042
"R801, R802, R803",0402,3,5.1kΩ,
"TP101, TP102",TestPoint_Pad_D1.0mm,2,TestPoint,
"TP301, TP302",TestPoint_Pad_D1.5mm,2,TestPoint,
U101,QFN40P700X700X90-57N,1,ESP32-S3,
U201,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U301,SOTFL50P160X60-8N,1,LM66200DRLR,
U302,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U303,SOIC127P599X175-9N,1,SC4215,
U501,VSON-10_L3.0-W3.0-P0.50-BL-EP_DRC,1,THVD2429DRCR,C41755914
"U502, U503",TSSOP-14_4.4x5mm_P0.65mm,2,MAX31856,
U601,TSSOP-56-PP,1,DRV8302,
Y101,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,R940000171,
