Designator,Mid X,Mid Y,Rotation,Layer
12VLED101,81.6,-133.9,0.0,top
3V3LED101,111.135,-162.9,180.0,top
C101,95.801992,-129.651992,135.0,top
C102,99.839411,-132.539411,225.0,top
C103,97.160589,-131.089411,45.0,top
C104,112.5,-122.95,180.0,top
C105,97.75,-131.8,45.0,top
C106,99.139411,-131.239411,135.0,top
C107,98.2,-129.55,225.0,top
C108,97.45,-128.95,225.0,top
C109,107.0,-134.4,270.0,top
C110,111.9,-127.4,270.0,top
C111,102.1,-124.7,90.0,top
C112,99.55,-124.4,315.0,top
C113,96.75,-127.15,135.0,top
C114,112.45,-121.6,180.0,top
C115,114.8,-104.2,0.0,top
C201,100.4,-141.0,180.0,top
C202,103.1,-140.8,0.0,top
C203,97.7,-149.8,270.0,top
C301,97.905,-137.530001,90.0,top
C302,97.664998,-140.430001,270.0,top
C303,91.3,-137.2,90.0,top
C304,91.3,-140.2,270.0,top
C305,92.8,-137.2,90.0,top
C306,92.8,-140.2,270.0,top
C307,82.6,-137.2,270.0,top
C308,81.6,-137.2,270.0,top
C401,82.824999,-120.7,180.0,top
C402,84.1,-125.3,270.0,top
C403,83.1,-125.3,270.0,top
C404,87.167499,-120.470001,180.0,top
C405,88.98,-122.2,0.0,top
C406,80.1,-122.25,270.0,top
C407,86.4,-124.4,180.0,top
C408,86.6,-125.9,180.0,top
C409,86.6,-127.9,180.0,top
C410,87.85,-134.8,0.0,top
C411,88.25,-133.6,0.0,top
C501,84.5,-156.2,180.0,top
C502,91.6,-160.8,180.0,top
C503,89.7,-160.8,180.0,top
C504,87.8,-160.8,180.0,top
C505,98.6,-160.7625,180.0,top
C506,96.7,-160.7625,180.0,top
C507,94.8,-160.7625,180.0,top
C508,100.15,-158.65,90.0,top
C509,93.35,-158.58,90.0,top
C510,84.5,-160.4,0.0,top
C511,93.4,-153.5,270.0,top
C512,100.2,-153.4625,270.0,top
C513,88.8,-143.3,270.0,top
C514,89.8,-143.3,90.0,top
C515,90.8,-143.3,270.0,top
C516,86.5,-145.1,225.0,top
C517,87.0,-150.199998,315.0,top
C518,86.5,-147.152997,135.0,top
C601,101.25,-121.95,270.0,top
C602,106.35,-121.75,270.0,top
C606,108.7,-121.25,180.0,top
C607,102.5,-121.65,90.0,top
C608,88.625001,-109.35,180.0,top
C609,88.6,-111.7,180.0,top
C610,90.2,-105.25,180.0,top
C611,110.8,-112.3,0.0,top
C612,111.3,-114.2,0.0,top
C613,102.08,-109.6,180.0,top
C614,99.5,-109.6,180.0,top
C615,104.9,-109.6,180.0,top
C616,111.3,-119.0,180.0,top
C617,111.28,-116.6,180.0,top
C618,113.2,-108.6,180.0,top
C701,106.5,-108.1,45.0,top
C702,108.5,-109.59,0.0,top
CANRXLED101,98.2,-143.385,270.0,top
CANTXLED101,104.6,-143.2,270.0,top
D201,102.7,-152.4,315.0,top
D801,108.2,-137.0,270.0,top
IC401,86.3,-122.449999,0.0,top
IC402,86.8,-131.0,270.0,top
IC501,89.6,-146.4,0.0,top
J101,114.225,-151.999999,270.0,top
J501,96.65,-167.3475,270.0,top
J502,89.649999,-167.365,270.0,top
J503,82.65,-167.365,270.0,top
J504,77.935,-143.85,180.0,top
J505,77.935,-150.85,180.0,top
J506,105.4,-166.36,270.0,top
J801,113.525,-137.8,90.0,top
JP101,115.190001,-122.239999,180.0,top
JP102,115.2,-128.645,0.0,top
JP201,97.9,-147.875,270.0,top
L101,98.4,-132.5,45.0,top
L102,99.2,-127.9,135.0,top
L301,95.365,-135.430002,180.0,top
L401,83.45,-116.4,0.0,top
LED801,114.3,-143.7,180.0,top
P101,81.661,-108.077,180.0,bottom
P102,97.5,-105.4,180.0,bottom
